#{"t_start": 1776670605.7900777, "env_id": "None"}
r,l,t
-22565.001565,1080,534.858646
-11161.273608,1080,536.236018
-7790.410886,1080,536.852369
-12781.713766,1080,538.182914
-24859.434289,1080,538.787689
-28918.685814,1080,540.134552
-28638.918156,1080,540.750152
-13971.506175,1080,542.092382
-10644.037509,1080,542.699306
-10371.216359,1080,544.062951
-14000.329764,1080,544.673373
-24161.079572,1080,546.052906
-18750.007559,1080,547.383259
-30489.166392,1080,548.040509
-26544.074668,1080,549.460021
-15182.217769,1080,550.100374
-12440.592927,1080,551.49419
593.61503,1080,552.096128
-17581.871292,1080,553.458016
-10762.910509,1080,554.090675
-20281.980779,1080,555.468804
-21456.431987,1080,556.082177
-21000.18961,1080,557.456659
-12907.530857,1080,558.07505
-30009.408509,1080,559.459291
-18173.061692,1080,560.075305
-21134.617226,1080,561.531918
-6911.763827,1080,562.13748
-23335.925699,1080,563.482457
-32362.37792,1080,564.807621
-9434.429146,1080,565.485924
-8724.317288,1080,566.887546
-860.67041,1080,567.538246
-23460.866804,1080,568.875793
-32648.844977,1080,569.482565
-14089.265597,1080,570.870687
-17759.942768,1080,571.465253
-20726.907812,1080,572.812758
-13318.19793,1080,573.416336
-4670.374443,1080,574.854136
-18599.601465,1080,575.461698
-38421.638418,1080,576.762717
-16539.312135,1080,577.364069
-28923.33308,1080,578.730972
-31263.223524,1080,579.344004
-20933.471101,1080,580.721847
-28376.14979,1080,581.335459
-50015.198008,1080,582.679457
-33390.53493,1080,584.037477
-8025.924569,1080,584.696185
-23092.453089,1080,586.039538
-14845.989388,1080,586.667206
263.83045,1080,588.008441
-21241.239831,1080,588.612642
-3400.746114,1080,590.056683
-24710.188124,1080,590.658954
-21692.515987,1080,592.073646
-12492.466774,1080,592.681295
-27880.244624,1080,594.052966
-16660.339019,1080,594.660065
-19237.852876,1080,596.01195
-51944.58987,1080,596.610321
-20960.541503,1080,598.019405
-2343.346884,1080,598.620181
-33892.696937,1080,599.995527
-1126.785912,1080,600.60324
-815.27322,1080,601.975223
-15561.429727,1080,603.299982
-13805.50339,1080,603.950284
-19416.059815,1080,605.373756
-47077.608817,1080,605.996359
-47607.975026,1080,607.368072
-25263.85221,1080,607.973344
-25299.171953,1080,609.383651
-28388.099237,1080,609.988614
-33159.635253,1080,611.340065
-17351.57648,1080,611.9411
-11816.557507,1080,613.337344
-14202.936287,1080,613.958237
-17846.282458,1080,615.318319
-22200.91589,1080,615.930496
1209.366678,1080,617.319825
-617.182131,1080,617.939281
-9869.544601,1080,619.282553
-13213.725679,1080,620.610546
1432.198397,1080,621.283072
-33108.995365,1080,622.60544
-28838.969004,1080,623.251355
-21184.692755,1080,624.682148
-6577.077456,1080,625.288943
973.890655,1080,626.543266
-29557.551221,1080,627.137435
-16054.075814,1080,628.522326
-10798.264375,1080,629.135854
-17153.387847,1080,630.524901
-24583.875829,1080,631.128664
-23954.327562,1080,632.515553
-24707.549252,1080,633.120078
-24761.6036,1080,634.493734
-12599.457703,1080,635.10923
-5142.877101,1080,636.463036
-15067.093142,1080,637.070597
-9772.566245,1080,638.402032
-18641.43967,1080,639.722468
-8252.79395,1080,640.389958
-20408.955011,1080,641.639318
-7270.953254,1080,642.275206
-12194.829169,1080,643.633596
