step_range,duration_sec,action,vel_kmh_change,pos_km_change,sum_tve_reward,sum_ic_penalty,sum_ef_penalty,sum_sl_penalty,total_reward
9520 -> 9520,0.1,1_惰行,-0.0 -> -0.0,2.895 -> 2.895,0.0,0.0,0.0,-20.0,-26.0
9530 -> 9530,0.1,1_惰行,-0.0 -> -0.0,2.895 -> 2.895,0.0,0.0,0.0,-20.0,-26.0
9540 -> 9540,0.1,1_惰行,-0.0 -> -0.0,2.895 -> 2.895,0.0,0.0,0.0,-20.0,-26.0
9550 -> 9550,0.1,1_惰行,-0.0 -> -0.0,2.895 -> 2.895,0.0,0.0,0.0,-20.0,-26.0
9560 -> 9560,0.1,1_惰行,-0.0 -> -0.0,2.895 -> 2.895,0.0,0.0,0.0,-20.0,-26.0
9570 -> 9570,0.1,1_惰行,-0.0 -> -0.0,2.895 -> 2.895,0.0,0.0,0.0,-20.0,-26.0
9580 -> 9580,0.1,0_加速,14.3 -> 14.3,2.896 -> 2.896,0.0,-2.0,-0.5,-21.1,-24.6
9590 -> 9590,0.1,1_惰行,14.0 -> 14.0,2.897 -> 2.897,0.0,-2.0,0.0,-21.1,-24.1
9600 -> 9600,0.1,1_惰行,13.8 -> 13.8,2.898 -> 2.898,0.0,0.0,0.0,-21.1,-22.1
9610 -> 9610,0.1,0_加速,28.0 -> 28.0,2.900 -> 2.900,0.0,-2.0,-0.5,-22.2,-25.7
9620 -> 9620,0.1,1_惰行,27.7 -> 27.7,2.902 -> 2.902,0.0,-2.0,0.0,-22.1,-25.1
9630 -> 9630,0.1,1_惰行,27.5 -> 27.5,2.904 -> 2.904,0.0,0.0,0.0,-22.1,-23.1
9640 -> 9640,0.1,1_惰行,27.2 -> 27.2,2.906 -> 2.906,0.0,0.0,0.0,-22.1,-23.1
9650 -> 9650,0.1,1_惰行,26.9 -> 26.9,2.908 -> 2.908,0.0,0.0,0.0,-22.1,-23.1
9660 -> 9660,0.1,1_惰行,26.6 -> 26.6,2.910 -> 2.910,0.0,0.0,0.0,-22.1,-23.1
9670 -> 9670,0.1,1_惰行,26.4 -> 26.4,2.912 -> 2.912,0.0,0.0,0.0,-22.0,-23.0
9680 -> 9680,0.1,1_惰行,26.1 -> 26.1,2.914 -> 2.914,0.0,0.0,0.0,-22.0,-23.0
9690 -> 9690,0.1,1_惰行,25.8 -> 25.8,2.916 -> 2.916,0.0,0.0,0.0,-22.0,-23.0
9700 -> 9700,0.1,1_惰行,25.6 -> 25.6,2.918 -> 2.918,0.0,0.0,0.0,-22.0,-23.0
9710 -> 9710,0.1,2_ブレーキ,13.0 -> 13.0,2.920 -> 2.920,0.0,0.0,0.0,-21.0,-22.0
9720 -> 9720,0.1,1_惰行,12.7 -> 12.7,2.921 -> 2.921,0.0,0.0,0.0,-21.0,-22.0
